name	source	x	y	width	height
crop.carrot.stage_1	crops.sheet	48	80	16	16
crop.carrot.stage_2	crops.sheet	64	80	16	16
crop.carrot.stage_3	crops.sheet	80	80	16	16
crop.carrot.harvest	crops.sheet	96	80	16	16
crop.tomato.seed_bag	crops.sheet	0	48	16	16
crop.tomato.stage_0	crops.sheet	32	48	16	16
crop.tomato.stage_1	crops.sheet	48	48	16	16
crop.tomato.stage_2	crops.sheet	64	48	16	16
crop.tomato.stage_3	crops.sheet	80	48	16	16
crop.tomato.harvest	crops.sheet	96	48	16	16
crop.potato.seed_bag	crops.sheet	0	528	16	16
crop.potato.stage_0	crops.sheet	32	528	16	16
crop.potato.stage_1	crops.sheet	48	528	16	16
crop.potato.stage_2	crops.sheet	64	528	16	16
crop.potato.stage_3	crops.sheet	80	528	16	16
crop.potato.harvest	crops.sheet	96	528	16	16
crop.corn.seed_bag	crops.sheet	0	144	16	16
crop.corn.stage_0	crops.sheet	32	144	16	16
crop.corn.stage_1	crops.sheet	48	144	16	16
crop.corn.stage_2	crops.sheet	64	144	16	16
crop.corn.stage_3	crops.sheet	80	144	16	16
crop.corn.harvest	crops.sheet	96	144	16	16
crop.cabbage.seed_bag	crops.sheet	0	240	16	16
crop.cabbage.stage_0	crops.sheet	32	240	16	16
crop.cabbage.stage_1	crops.sheet	48	240	16	16
crop.cabbage.stage_2	crops.sheet	64	240	16	16
crop.cabbage.stage_3	crops.sheet	80	240	16	16
crop.cabbage.harvest	crops.sheet	96	240	16	16
tree.oak.big	trees.oak.big	64	0	64	80
decor.fence.vertical	decor.fences	0	16	16	16
decor.fence.horizontal	decor.fences	32	0	16	16
decor.flower.white	decor.flowers	0	0	16	16
decor.sign	decor.signs	0	0	16	16
decor.camp	decor.camp	0	0	80	16
decor.scarecrow	decor.scarecrows	0	0	32	32
icon.tool.hoe	icons.tools	48	0	16	16
icon.tool.watering_can	icons.tools	96	0	16	16
font.A	font.A	0	0	5	5
font.B	font.B	0	0	5	5
font.C	font.C	0	0	5	5
font.D	font.D	0	0	5	5
font.E	font.E	0	0	5	5
font.F	font.F	0	0	5	5
font.G	font.G	0	0	5	5
font.H	font.H	0	0	5	5
font.I	font.I	0	0	5	5
font.K	font.K	0	0	5	5
font.L	font.L	0	0	5	5
font.M	font.M	0	0	5	5
font.N	font.N	0	0	5	5
font.O	font.O	0	0	5	5
font.P	font.P	0	0	5	5
font.Q	font.Q	0	0	5	5
font.R	font.R	0	0	5	5
font.S	font.S	0	0	5	5
font.T	font.T	0	0	5	5
font.U	font.U	0	0	5	5
font.V	font.V	0	0	5	5
font.W	font.W	0	0	5	5
font.Y	font.Y	0	0	5	5
font.Z	font.Z	0	0	5	5
font.1	font.1	0	0	5	5
font.2	font.2	0	0	5	5
font.3	font.3	0	0	5	5
font.4	font.4	0	0	5	5
font.5	font.5	0	0	5	5
font.6	font.6	0	0	5	5
font.7	font.7	0	0	5	5
font.8	font.8	0	0	5	5
font.9	font.9	0	0	5	5
font.0	font.0	0	0	5	5
font.colon	font.colon	0	0	5	5
font.percent	font.percent	0	0	5	5
ui.pointer.idle	ui.pointer	0	0	16	16
ui.slot.frame	ui.slot.frame	0	0	32	32
ui.slot.selected	ui.slot.selected	0	0	32	32
ui.panel.tl	ui.slot.frame	0	0	8	8
ui.panel.top	ui.slot.frame	8	0	16	8
ui.panel.tr	ui.slot.frame	24	0	8	8
ui.panel.left	ui.slot.frame	0	8	8	16
ui.panel.center	ui.slot.frame	8	8	16	16
ui.panel.right	ui.slot.frame	24	8	8	16
ui.panel.bl	ui.slot.frame	0	24	8	8
ui.panel.bottom	ui.slot.frame	8	24	16	8
ui.panel.br	ui.slot.frame	24	24	8	8
building.farmhouse	building.farmhouse	0	0	96	128
interior.floor.wood	interior.floor	0	0	16	16
interior.wall.wood	interior.wall	0	0	32	32
interior.bed	interior.bed	0	0	32	32
interior.door	interior.door	0	0	16	32
interior.bookshelf	interior.bookshelves	0	0	48	32
effect.cloud.0	effect.cloud.0	0	0	38	25
effect.cloud.1	effect.cloud.1	0	0	28	24
effect.cloud.2	effect.cloud.2	0	0	44	34
effect.cloud.3	effect.cloud.3	0	0	27	21
animal.chicken.idle	animal.chicken	0	0	32	32
animal.chicken.walk	animal.chicken	32	0	32	32
animal.frog.idle	animal.frog	0	0	32	32
animal.frog.walk	animal.frog	32	0	32	32
